size expected actual delta size_delta
865 1073718131 1073718098 -33 0
866 1073718495 1073718487 -8 25
867 1073718833 1073718817 -16 -8
868 1073719161 1073719118 -43 -27
869 1073719481 1073719415 -66 -23
870 1073719790 1073719723 -67 -1
871 1073720087 1073720024 -63 4
872 1073720353 1073720309 -44 19
873 1073720598 1073720558 -40 4
874 1073720837 1073720810 -27 13
875 1073721069 1073721044 -25 2
876 1073721295 1073721287 -8 17
877 1073721507 1073721511 4 12
878 1073721703 1073721677 -26 -30
879 1073721880 1073721853 -27 -1
880 1073722050 1073722032 -18 9
881 1073722218 1073722197 -21 -3
882 1073722381 1073722356 -25 -4
883 1073722535 1073722502 -33 -8
884 1073722672 1073722629 -43 -10
885 1073722800 1073722769 -31 12
886 1073722922 1073722883 -39 -8
887 1073723041 1073723012 -29 10
888 1073723158 1073723137 -21 8
889 1073723268 1073723246 -22 -1
890 1073723367 1073723341 -26 -4
891 1073723454 1073723417 -37 -11
892 1073723542 1073723508 -34 3
893 1073723626 1073723587 -39 -5
894 1073723708 1073723659 -49 -10
895 1073723786 1073723739 -47 2
896 1073723856 1073723809 -47 0
897 1073723918 1073723881 -37 10
898 1073723977 1073723931 -46 -9
899 1073724037 1073723986 -51 -5
900 1073724095 1073724047 -48 3
901 1073724149 1073724114 -35 13
902 1073724198 1073724164 -34 1
903 1073724242 1073724207 -35 -1
904 1073724282 1073724244 -38 -3
905 1073724323 1073724285 -38 0
906 1073724364 1073724330 -34 4
907 1073724401 1073724370 -31 3
908 1073724435 1073724397 -38 -7
909 1073724465 1073724423 -42 -4
910 1073724493 1073724452 -41 1
911 1073724520 1073724482 -38 3
912 1073724547 1073724511 -36 2
913 1073724574 1073724549 -25 11
914 1073724597 1073724571 -26 -1
915 1073724617 1073724586 -31 -5
916 1073724636 1073724608 -28 3
917 1073724655 1073724628 -27 1
918 1073724673 1073724652 -21 6
919 1073724690 1073724671 -19 2
920 1073724707 1073724687 -20 -1
921 1073724720 1073724697 -23 -3
922 1073724732 1073724713 -19 4
923 1073724745 1073724728 -17 2
924 1073724758 1073724741 -17 0
925 1073724769 1073724755 -14 3
926 1073724779 1073724764 -15 -1
927 1073724789 1073724774 -15 0
928 1073724797 1073724784 -13 2
929 1073724805 1073724789 -16 -3
930 1073724813 1073724798 -15 1
931 1073724821 1073724806 -15 0
932 1073724828 1073724811 -17 -2
933 1073724833 1073724819 -14 3
934 1073724839 1073724825 -14 0
935 1073724844 1073724829 -15 -1
936 1073724849 1073724837 -12 3
937 1073724854 1073724845 -9 3
938 1073724859 1073724848 -11 -2
939 1073724863 1073724849 -14 -3
940 1073724866 1073724854 -12 2
941 1073724870 1073724858 -12 0
942 1073724873 1073724860 -13 -1
943 1073724876 1073724868 -8 5
944 1073724879 1073724873 -6 2
945 1073724882 1073724874 -8 -2
946 1073724883 1073724874 -9 -1
947 1073724885 1073724876 -9 0
948 1073724888 1073724881 -7 2
949 1073724890 1073724885 -5 2
950 1073724891 1073724887 -4 1
951 1073724893 1073724889 -4 0
952 1073724894 1073724891 -3 1
953 1073724896 1073724893 -3 0
954 1073724897 1073724895 -2 1
955 1073724898 1073724897 -1 1
956 1073724899 1073724897 -2 -1
957 1073724900 1073724897 -3 -1
958 1073724901 1073724897 -4 -1
959 1073724902 1073724898 -4 0
960 1073724903 1073724900 -3 1
961 1073724903 1073724900 -3 0
962 1073724904 1073724901 -3 0
963 1073724905 1073724903 -2 1
964 1073724905 1073724903 -2 0
965 1073724906 1073724905 -1 1
966 1073724906 1073724905 -1 0
967 1073724906 1073724906 0 1
968 1073724907 1073724906 -1 -1
969 1073724907 1073724907 0 1
970 1073724908 1073724909 1 1
971 1073724908 1073724910 2 1
